epoch,accuracy,loss,val_accuracy,val_loss
0,0.11020881682634354,7.133349895477295,0.08080808073282242,5.853385925292969
1,0.18503479659557343,5.824333667755127,0.08080808073282242,6.811271667480469
2,0.18155452609062195,5.470040798187256,0.09292929619550705,8.043643951416016
3,0.20881670713424683,5.2765278816223145,0.08686868846416473,8.772351264953613
4,0.23955915868282318,5.155224800109863,0.09898989647626877,8.57845401763916
5,0.281902551651001,5.051546573638916,0.11919192224740982,7.959627628326416
6,0.27494198083877563,5.0352702140808105,0.20404040813446045,6.727569580078125
7,0.2836426794528961,4.970182418823242,0.21010100841522217,5.738675594329834
8,0.29930394887924194,4.943558692932129,0.27676767110824585,4.99412202835083
9,0.3201856017112732,4.85585880279541,0.3757575750350952,4.661286354064941
10,0.3265661299228668,4.799032211303711,0.4343434274196625,4.514986991882324
11,0.3265661299228668,4.801148891448975,0.45656564831733704,4.492010593414307
12,0.35672852396965027,4.737970352172852,0.4505050480365753,4.49151086807251
13,0.3445475697517395,4.73040246963501,0.4464646577835083,4.517077922821045
14,0.36020880937576294,4.6908063888549805,0.4363636374473572,4.5028605461120605
15,0.3950116038322449,4.617320537567139,0.4383838474750519,4.508236885070801
16,0.3764501214027405,4.646394729614258,0.43030303716659546,4.516932010650635
17,0.40313225984573364,4.55959939956665,0.4404040277004242,4.4839630126953125
18,0.41357308626174927,4.5288848876953125,0.4545454680919647,4.408269882202148
19,0.41705337166786194,4.537156581878662,0.4505050480365753,4.437907695770264
20,0.4245939552783966,4.511209487915039,0.4707070589065552,4.4050092697143555
21,0.4234338700771332,4.447260856628418,0.46868687868118286,4.347336292266846
22,0.42285382747650146,4.4508771896362305,0.4808080792427063,4.337324619293213
23,0.42633411288261414,4.438127517700195,0.5050504803657532,4.299361228942871
24,0.4588167071342468,4.355101585388184,0.4848484992980957,4.310301303863525
25,0.45475637912750244,4.385279178619385,0.5030303001403809,4.307104587554932
26,0.4489559233188629,4.368685245513916,0.5191919207572937,4.2672319412231445
27,0.46519720554351807,4.292086601257324,0.5313131213188171,4.210407733917236
28,0.4588167071342468,4.3087897300720215,0.5252525210380554,4.2928290367126465
29,0.48375868797302246,4.252676010131836,0.513131320476532,4.290371417999268
30,0.5081206560134888,4.230424880981445,0.5353535413742065,4.2444682121276855
31,0.5011600852012634,4.2485857009887695,0.513131320476532,4.24068021774292
32,0.5127609968185425,4.215767860412598,0.5373737215995789,4.202188014984131
33,0.511600911617279,4.202279090881348,0.5232323408126831,4.196184158325195
34,0.5226218104362488,4.154582500457764,0.5454545617103577,4.162092208862305
35,0.5261020660400391,4.1436591148376465,0.5353535413742065,4.186569690704346
36,0.502900242805481,4.155882835388184,0.5656565427780151,4.090290069580078
37,0.5191415548324585,4.12300968170166,0.5575757622718811,4.124998092651367
38,0.5313224792480469,4.127340793609619,0.6101009845733643,4.040147304534912
39,0.5400232076644897,4.052417278289795,0.6060606241226196,4.02265739440918
40,0.5139211416244507,4.093784809112549,0.5616161823272705,4.095320224761963
41,0.5504640340805054,4.013407230377197,0.6040403842926025,4.007264614105225
42,0.5661252737045288,4.0100860595703125,0.5919191837310791,4.009936332702637
43,0.54350346326828,4.019479274749756,0.6060606241226196,3.9775664806365967
44,0.5562645196914673,3.995988130569458,0.6383838653564453,3.9993367195129395
45,0.5748260021209717,3.93462872505188,0.6040403842926025,4.004244804382324
46,0.5713456869125366,3.957172393798828,0.6141414046287537,3.970057725906372
47,0.5777262449264526,3.9331767559051514,0.6181818246841431,3.970662832260132
48,0.5736659169197083,3.921651840209961,0.6424242258071899,3.941819667816162
49,0.5939674973487854,3.868511199951172,0.6323232054710388,3.9144515991210938
50,0.5910673141479492,3.882253408432007,0.6222222447395325,3.9470064640045166
51,0.592807412147522,3.872164011001587,0.6363636255264282,3.919517993927002
52,0.5991879105567932,3.846212387084961,0.6323232054710388,3.9111521244049072
53,0.592807412147522,3.849966049194336,0.644444465637207,3.9012534618377686
54,0.5974478125572205,3.855726957321167,0.6383838653564453,3.8819541931152344
55,0.5777262449264526,3.856069803237915,0.6424242258071899,3.8676280975341797
56,0.6270301342010498,3.785118579864502,0.6343434453010559,3.902508020401001
57,0.5986078977584839,3.8007304668426514,0.6404040455818176,3.876908779144287
58,0.5945475697517395,3.8257930278778076,0.6262626051902771,3.8837668895721436
59,0.6142691373825073,3.7736964225769043,0.644444465637207,3.8706417083740234
